"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","playerid"
"Alcides Escobar","Royals","162","599","629","150","103","36","5","6","71","54","15","1","102","4","4","7","14","4","7",".250",".272",".357","6310"
"Alexi Amarista","Rockies","96","168","176","40","27","10","0","3","22","19","7","0","38","0","0","1","5","1","0",".238",".269",".351","9063"
"Adam Rosales","- - -","105","289","312","65","42","16","0","7","25","36","11","1","100","4","4","4","6","1","2",".225",".260",".353","9682"
"Ruben Tejada","Orioles","41","113","124","26","20","6","0","0","17","5","8","0","15","2","0","1","6","0","0",".230",".293",".283","5519"
"Franklin Barreto","Athletics","25","71","76","14","9","1","2","2","10","6","5","0","33","0","0","0","1","2","0",".197",".250",".352","15519"
"Allen Cordoba","Padres","100","202","227","42","34","2","2","4","17","15","18","1","54","4","3","0","2","2","2",".208",".282",".297","15722"
"Richard Urena","Blue Jays","21","68","75","14","9","4","0","1","6","4","6","0","28","0","0","1","0","1","0",".206",".270",".309","16411"
"Mike Aviles","Marlins","37","86","97","20","17","2","0","1","5","8","6","2","15","2","0","3","3","0","0",".233",".298",".291","5986"
"Taylor Motter","Mariners","92","258","280","51","32","12","0","7","29","26","21","0","62","0","1","0","9","12","1",".198",".257",".326","12399"
"Zach Vincej","Reds","9","9","12","1","1","0","0","0","2","0","1","0","5","2","0","0","0","0","0",".111",".333",".111","13269"
"J.J. Hardy","Orioles","73","254","268","55","37","13","1","4","24","24","12","0","48","1","0","1","7","0","1",".217",".255",".323","3797"
"Kristopher Negron","Diamondbacks","14","25","31","4","3","1","0","0","3","1","4","0","7","1","0","1","1","0","0",".160",".300",".200","5306"
"Christian Arroyo","Giants","34","125","135","24","16","5","0","3","9","14","8","1","32","1","1","0","4","1","2",".192",".244",".304","16434"
"Charlie Culberson","Dodgers","15","13","15","2","1","1","0","0","0","1","2","0","4","0","0","0","2","0","0",".154",".267",".231","3298"
"Tyler Smith","Mariners","10","16","19","3","2","1","0","0","2","1","1","0","8","1","1","0","0","0","0",".188",".263",".250","12490"
"Chase d'Arnaud","- - -","35","58","62","11","8","2","0","1","12","3","4","1","20","0","0","0","0","5","1",".190",".242",".276","6652"
"Raul Mondesi","Royals","25","53","60","9","7","1","0","1","4","3","3","0","22","0","0","4","2","5","2",".170",".214",".245","13769"
"Luis Sardinas","Padres","29","49","53","8","8","0","0","0","3","1","4","0","11","0","0","0","1","1","0",".163",".226",".163","13153"
"Gordon Beckham","Mariners","11","17","18","3","3","0","0","0","2","0","1","0","2","0","0","0","2","1","0",".176",".222",".176","9015"
"Pete Kozma","- - -","39","45","51","5","4","0","0","1","6","2","3","0","20","2","0","1","0","0","1",".111",".200",".178","2539"
"Mike Freeman","- - -","35","60","66","6","3","2","0","1","6","1","6","1","19","0","0","0","1","0","0",".100",".182",".183","11241"
"Alex Mejia","Cardinals","29","46","49","5","4","0","0","1","6","3","2","0","13","0","0","1","2","0","0",".109",".146",".174","13877"
"Paul Janish","Orioles","14","26","28","2","2","0","0","0","0","3","1","0","6","0","0","1","1","0","0",".077",".111",".077","7412"
"Cristhian Adames","Rockies","12","13","14","0","0","0","0","0","1","0","1","0","6","0","0","0","0","0","0",".000",".071",".000","6013"
"Jack Reinheimer","Diamondbacks","2","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000",".000",".000","14938"
